SalePrice,GrLivArea,Neighborhood,OverallQual,YearBuilt
128000,958,NPkVill,6,1976
87000,840,OldTown,5,1930
155000,1348,NAmes,6,1966
150000,1053,NAmes,5,1958
226000,2157,NAmes,7,1966
244000,2054,Gilbert,6,2000
150750,1327,NAmes,5,1959
220000,1296,Timber,8,2001
180000,1721,Sawyer,5,1968
174000,1682,NWAmes,7,1970
143000,1214,NAmes,5,1967
171000,1959,Mitchel,7,1988
230000,1852,CollgCr,8,1999
231500,1764,CollgCr,6,1997
115000,864,NAmes,4,1971
260000,1734,CollgCr,7,2005
166000,1385,NAmes,5,1952
204000,1501,CollgCr,7,1999
125000,1728,Sawyer,5,1963
130000,1709,Edwards,6,2004
105000,875,BrkSide,5,1931
222500,2035,Gilbert,7,2001
141000,1080,SawyerW,7,2004
115000,1344,BrkSide,5,1936
122000,969,CollgCr,5,1975
372402,1710,NridgHt,8,2007
190000,1993,NWAmes,6,1971
235000,1252,ClearCr,6,1960
125000,1200,OldTown,6,1923
79000,1096,Edwards,6,1924
109500,1040,NAmes,5,1950
269500,1968,Timber,8,2009
254900,1947,Somerst,7,2004
320000,2462,Gilbert,7,2005
162500,1232,Veenker,6,1984
412500,2668,NridgHt,9,2003
220000,1541,NridgHt,7,2005
103200,882,OldTown,4,1956
152000,1616,OldTown,6,1926
127500,1355,Edwards,5,1940
190000,1867,ClearCr,5,1955
325624,2161,NridgHt,8,2007
183500,1720,Gilbert,7,2004
228000,1707,Timber,8,1981
128500,1382,OldTown,5,1941
215000,1656,NAmes,6,1960
239000,1767,StoneBr,7,1987
163000,1362,NAmes,6,1961
184000,1651,Timber,6,1986
243000,2158,Edwards,6,1950
211000,2060,ClearCr,6,1988
172500,1920,Sawyer,5,1958
501837,2234,StoneBr,9,2008
100000,968,OldTown,5,1923
177000,1525,Somerst,6,2000
200100,1802,Crawfor,7,1920
120000,1340,Edwards,5,1957
200000,2082,OldTown,7,2003
127000,1252,BrkSide,5,1908
475000,3608,OldTown,10,1892
173000,1217,Mitchel,7,1990
135000,1656,OldTown,5,1916
153337,1224,SawyerW,5,1979
286000,1593,StoneBr,8,2001
315000,2727,Crawfor,8,1932
184000,1479,NAmes,7,1972
192000,1431,CollgCr,7,1999
130000,1709,Edwards,7,2004
127000,864,CollgCr,5,1972
148500,1456,NPkVill,6,1976
311872,1726,Somerst,7,2007
235000,3112,NAmes,8,1918
104000,2229,OldTown,6,1912
274900,1713,NridgHt,8,2004
140000,1121,Edwards,4,2003
171500,1279,Mitchel,6,1977
112000,1310,OldTown,6,1924
149000,848,CollgCr,6,2004
110000,1284,OldTown,5,1947
180500,1442,Gilbert,7,1990
143900,1696,Sawyer,5,1962
141000,1100,NAmes,4,1960
277000,2062,SawyerW,7,1988
145000,1092,NAmes,6,1964
98000,864,Edwards,5,1925
186000,1212,Edwards,6,2009
252678,1852,Somerst,7,2009
156000,990,CollgCr,5,1995
161750,1392,CollgCr,6,1977
134450,1236,NAmes,5,1957
210000,1436,CollgCr,7,2004
107000,1328,OldTown,4,1925
311500,1954,Crawfor,7,1939
167240,1248,Blmngtn,7,2005
204900,1498,CollgCr,7,2006
200000,2267,Gilbert,6,2002
179900,1552,NWAmes,6,1975
97000,864,NAmes,4,1971
386250,2392,NridgHt,10,2003
112000,1302,BrDale,5,1971
290000,2520,NoRidge,7,1995
106000,987,BrDale,6,1970
125000,912,Sawyer,5,1967
192500,1555,Blmngtn,7,2005
148000,1194,NAmes,6,1959
403000,2794,NoRidge,8,1995
94500,987,BrDale,6,1972
128200,894,CollgCr,5,1976
216500,1960,Gilbert,6,2002
89500,987,BrDale,6,1971
185500,1414,CollgCr,7,2004
194500,1744,SawyerW,7,1993
318000,1694,NridgHt,8,2007
113000,1487,Edwards,6,1945
262500,1566,Somerst,8,2008
110500,866,OldTown,5,1945
79000,1440,OldTown,5,1900
120000,1217,SawyerW,6,1980
205000,2110,SawyerW,7,1994
241500,1872,NWAmes,7,1988
137000,1928,OldTown,6,1910
140000,1375,NAmes,6,1954
180000,1668,CollgCr,7,2003
277000,2144,ClearCr,6,1958
76500,1306,BrkSide,3,1940
235000,1625,Crawfor,8,2006
173000,1640,SawyerW,6,2004
158000,1302,NAmes,6,1964
145000,1314,NAmes,5,1957
230000,2291,Gilbert,7,1999
207500,1728,Somerst,6,2003
220000,1604,CollgCr,7,2006
231500,1792,CollgCr,7,2001
97000,882,OldTown,5,1956
176000,1382,NAmes,6,1962
276000,2574,CollgCr,8,2007
151000,1212,Sawyer,6,1977
130000,1316,OldTown,5,1929
73000,764,OldTown,5,1925
175500,1422,NWAmes,6,1981
185000,1511,Gilbert,6,1997
179500,2192,SWISU,5,1939
120500,778,IDOTRR,5,1940
148000,1113,Edwards,6,1976
266000,1939,Somerst,8,2006
241500,1363,ClearCr,7,1954
290000,2270,NoRidge,8,1999
139000,1632,NAmes,6,1958
124500,816,Mitchel,5,1982
205000,1548,BrkSide,7,1925
201000,1560,Mitchel,7,2003
141000,864,Gilbert,4,1951
415298,2121,NridgHt,9,2006
192000,2022,ClearCr,7,1977
228500,1982,SawyerW,7,1989
185000,1262,Somerst,6,2006
207500,1314,NridgHt,7,2007
244600,1468,Somerst,8,2008
179200,1575,SawyerW,6,1992
164700,1250,Somerst,7,2006
159000,1734,NAmes,6,1962
88000,858,NAmes,4,1971
122000,900,Sawyer,5,1967
153575,1396,BrkSide,6,1915
233230,1919,CollgCr,8,2006
135900,1716,SWISU,5,1912
131000,1716,Edwards,5,1949
235000,2263,NWAmes,7,1977
167000,1644,NAmes,6,1953
142500,1003,Mitchel,6,1984
152000,1558,IDOTRR,5,1950
239000,1950,Somerst,7,1997
175000,1743,NWAmes,6,1968
158500,1152,Crawfor,6,1950
157000,1336,Crawfor,5,1953
267000,2452,CollgCr,8,1998
205000,1541,CollgCr,7,2001
149900,894,CollgCr,5,1972
295000,3493,OldTown,7,1880
305900,2000,CollgCr,8,2004
225000,2243,SawyerW,7,1990
89500,1406,IDOTRR,6,1920
82500,861,Edwards,4,1940
360000,1944,NridgHt,9,2003
165600,1501,Gilbert,6,1993
132000,972,NAmes,6,1948
119900,1118,OldTown,5,1939
375000,2036,Timber,7,1965
178000,1641,OldTown,7,1925
188500,1432,Gilbert,7,2004
260000,2353,NWAmes,7,1980
270000,1959,Somerst,8,2006
260000,2646,NoRidge,7,1993
187500,1472,NWAmes,7,1980
342643,2596,NridgHt,9,2006
354000,2468,NridgHt,8,2004
301000,2730,SawyerW,7,1986
126175,1163,OldTown,3,1955
242000,2978,NAmes,7,1967
87000,803,IDOTRR,5,1941
324000,1719,Veenker,8,1993
145250,1383,NAmes,6,1960
214500,2134,BrkSide,6,1916
78000,1192,IDOTRR,5,1920
119000,1728,NAmes,5,1964
139000,1056,NAmes,5,1958
284000,1629,NridgHt,8,2003
207000,1358,NridgHt,7,2004
192000,1638,Gilbert,6,1998
228950,1786,Timber,5,1965
377426,1922,StoneBr,9,2005
214000,1536,CollgCr,7,2002
202500,1621,NWAmes,7,1984
155000,1215,NAmes,6,1958
202900,1908,Timber,8,2002
82000,841,SawyerW,4,1950
87500,1040,NAmes,3,1949
266000,1684,NridgHt,9,2005
85000,1112,MeadowV,5,1976
140200,1577,BrkSide,6,1939
151500,958,NAmes,6,1960
157500,1478,NAmes,6,1960
154000,1626,NridgHt,7,2003
437154,2728,NridgHt,9,2005
318061,1869,NridgHt,9,2007
190000,1453,ClearCr,7,1986
95000,1111,Edwards,5,1941
105900,720,OldTown,6,1928
140000,1595,SWISU,6,1940
177500,1200,CollgCr,6,1995
173000,1167,Gilbert,6,1992
134000,1142,MeadowV,5,1976
130000,1352,ClearCr,5,1958
280000,1924,NoRidge,8,1998
156000,912,Mitchel,6,1978
145000,1505,BrkSide,5,1940
198500,1922,Edwards,7,2003
118000,987,BrDale,6,1972
190000,1574,NWAmes,6,1976
147000,1344,IDOTRR,5,1920
159000,1394,NAmes,6,1963
165000,1431,NAmes,6,1962
132000,1268,NAmes,5,1954
162000,1287,NAmes,5,1959
172400,1664,Gilbert,6,2000
134432,1588,ClearCr,4,1959
125000,752,SawyerW,6,1984
123000,1319,NAmes,5,1953
219500,1928,CollgCr,7,2003
61000,904,Edwards,1,1922
148000,914,CollgCr,5,1996
340000,2466,Somerst,8,2004
394432,1856,StoneBr,9,2010
179000,1800,Gilbert,6,2000
127000,1691,SWISU,5,1924
187750,1301,Somerst,7,2006
213500,1797,CollgCr,7,2006
76000,784,SawyerW,6,1928
240000,1953,ClearCr,6,1992
192000,1269,Blmngtn,8,2004
81000,1184,Edwards,5,1910
125000,1125,Edwards,6,1976
191000,1479,CollgCr,7,1999
426000,2332,NridgHt,10,2007
119000,1367,Edwards,5,1900
215000,1961,Mitchel,6,2001
106500,882,NAmes,5,1959
100000,788,BrkSide,4,1941
109000,1034,OldTown,5,1940
129000,1144,Edwards,5,1956
123000,894,CollgCr,5,1972
169500,1812,NAmes,5,1962
67000,1077,IDOTRR,5,1920
241000,1550,Somerst,7,2006
245500,1288,Veenker,8,1996
164990,1310,CollgCr,7,2005
108000,672,Sawyer,5,1940
258000,2263,NoRidge,8,1998
168000,1572,Gilbert,6,1995
150000,1620,Sawyer,4,1976
115000,1639,SWISU,6,1936
177000,1680,Crawfor,6,1915
280000,2172,NridgHt,7,2006
339750,2078,Somerst,8,2007
60000,1276,Edwards,5,1958
145000,1056,Gilbert,5,1955
222000,1478,Somerst,7,2009
115000,1028,OldTown,5,1927
228000,2097,SawyerW,7,1993
181134,1340,Gilbert,7,2007
149500,1400,Sawyer,6,1978
239000,2624,Crawfor,6,1918
126000,1134,Edwards,5,1940
142000,1056,NAmes,5,1968
206300,1344,Mitchel,7,1997
215000,1602,NWAmes,6,1977
113000,988,Mitchel,5,1954
315000,2630,NoRidge,8,1998
139000,1196,NAmes,6,1956
135000,1389,OldTown,7,1946
275000,1644,SawyerW,7,1989
109008,907,NAmes,4,1957
195400,1208,CollgCr,7,2007
175000,1412,Timber,6,1988
85400,987,BrDale,6,1971
79900,1198,OldTown,6,1920
122500,1365,BrDale,5,1971
181000,1604,Gilbert,6,1997
81000,630,MeadowV,4,1972
212000,1661,CollgCr,7,1996
116000,1118,OldTown,6,1920
119000,904,BrkSide,6,1926
90350,694,Crawfor,5,1913
110000,1196,Edwards,6,1920
555000,2402,NridgHt,10,2008
118000,1440,Edwards,4,1955
162900,1573,BrkSide,5,1930
172500,1258,Blmngtn,7,2006
210000,1908,CollgCr,7,1994
127500,1689,Edwards,6,1956
190000,1888,NAmes,6,1966
199900,1886,Gilbert,7,1998
119500,1376,IDOTRR,6,1937
120000,1183,OldTown,3,1948
110000,813,OldTown,6,1930
280000,1533,ClearCr,7,1975
204000,1756,Timber,6,1996
210000,1590,Somerst,8,2008
188000,1728,Mitchel,5,1976
175500,1242,NWAmes,7,1973
98000,1344,OldTown,5,1916
256000,1663,ClearCr,4,1954
161000,1666,OldTown,8,1925
110000,1203,BrkSide,5,1950
263435,1935,Somerst,8,2009
155000,1135,SWISU,7,1936
62383,864,Sawyer,5,1965
188700,1660,Crawfor,6,1934
124000,1040,CollgCr,5,1978
178740,1414,Blmngtn,7,2004
167000,1277,NAmes,7,1970
146500,1644,NAmes,5,1942
250000,1634,NridgHt,8,2006
187000,1710,SawyerW,6,1993
212000,1502,StoneBr,8,1985
190000,1969,NWAmes,7,1977
148000,1072,Edwards,6,2005
440000,1976,NridgHt,8,2006
251000,1652,StoneBr,8,2000
132500,970,Sawyer,5,1963
208900,1493,CollgCr,6,1997
380000,2643,NridgHt,9,2006
297000,1718,CollgCr,8,2007
89471,1131,OldTown,4,1937
326000,1850,NridgHt,9,2004
374000,1792,NridgHt,9,2003
155000,1826,OldTown,7,1915
164000,1216,Mitchel,6,1998
132500,999,Sawyer,5,1962
147000,1113,NAmes,5,1950
156000,1073,NAmes,5,1965
175000,1484,NWAmes,5,1971
160000,2414,OldTown,5,1900
86000,630,MeadowV,4,1970
115000,1304,MeadowV,5,1976
133000,1578,NAmes,6,1941
172785,1456,Gilbert,6,2006
155000,1269,NAmes,5,1960
91300,886,OldTown,5,1938
34900,720,IDOTRR,4,1920
430000,3228,NoRidge,8,1992
184000,1820,BrkSide,7,1925
130000,899,Sawyer,5,1967
120000,912,NAmes,5,1958
113000,1218,BrDale,6,1973
226700,1768,Somerst,7,2005
140000,1214,Edwards,5,1965
289000,1801,Crawfor,7,1959
147000,1322,NPkVill,6,1974
124500,1960,OldTown,5,1952
215000,1911,SawyerW,8,1993
208300,1218,Somerst,6,2009
161000,1378,OldTown,7,1928
124500,1041,NAmes,5,1959
164900,1363,NAmes,5,1951
202665,1368,NridgHt,7,2005
129900,864,NAmes,5,1958
134000,1080,Mitchel,6,1983
96500,789,Crawfor,5,1926
402861,2020,NridgHt,10,2009
158000,2119,NWAmes,6,1972
265000,2344,NoRidge,7,1996
211000,1796,CollgCr,6,1998
234000,2080,Crawfor,7,1926
106250,1294,OldTown,4,1900
150000,1244,NAmes,6,1957
159000,1664,BrkSide,6,1947
184750,4676,Edwards,10,2007
315750,2398,NoRidge,7,1996
176000,1266,Somerst,7,2005
132000,928,NAmes,5,1956
446261,2713,NridgHt,9,2008
86000,605,Edwards,4,1920
200624,2515,Crawfor,6,1957
175000,1509,Timber,6,1988
128000,1362,BrkSide,6,1920
107500,827,NAmes,5,1955
39300,334,BrkSide,1,1946
178000,1414,Gilbert,8,2004
107500,1347,Edwards,5,1910
188000,1724,CollgCr,7,1998
111250,864,NAmes,4,1972
158000,1159,Sawyer,5,1968
272000,1601,CollgCr,8,2001
315000,1838,Timber,9,2006
248000,2285,NoRidge,8,2000
213250,1680,NWAmes,7,1998
133000,767,NAmes,7,1998
179665,1496,Gilbert,7,2006
229000,2183,NWAmes,7,1988
210000,1635,BrkSide,6,1923
129500,768,Mitchel,5,1970
125000,825,OldTown,5,1955
263000,2094,Somerst,7,2003
140000,1069,NPkVill,6,1977
112500,928,OldTown,5,1957
255500,1717,NridgHt,8,2006
108000,1126,Edwards,4,1949
284000,2046,NridgHt,7,2003
113000,1048,BrkSide,5,1922
141000,1092,NAmes,5,1957
108000,1336,IDOTRR,4,1920
175000,1446,Gilbert,7,1996
234000,1557,Blmngtn,7,2003
121500,1392,Sawyer,5,1957
170000,1389,Mitchel,5,1974
108000,996,Edwards,5,1940
185000,1674,Edwards,6,1918
268000,2295,NoRidge,7,1992
128000,1647,SWISU,6,1915
325000,2504,StoneBr,9,2005
214000,1535,NridgHt,7,2004
316600,2132,SawyerW,8,1983
135960,943,NAmes,5,1979
142600,1728,NAmes,5,1965
120000,864,NAmes,6,1959
224500,1692,Timber,7,2009
170000,1430,Gilbert,7,2000
139000,1109,NAmes,5,1971
118500,1216,NAmes,5,1947
145000,1477,SWISU,7,1928
164500,1320,Sawyer,5,1966
146000,1392,Somerst,7,2007
131500,1795,OldTown,5,1954
181900,1429,NAmes,6,1960
253293,2042,NridgHt,8,2008
118500,816,Edwards,6,1990
325000,2775,OldTown,10,1893
133000,1573,BrkSide,4,1935
369900,2028,Timber,8,2005
130000,838,BrkSide,6,1918
137000,860,Sawyer,5,1982
143000,1473,ClearCr,5,1968
79500,935,BrkSide,5,1930
185900,1582,CollgCr,7,2004
451950,2296,NridgHt,10,2008
138000,816,Mitchel,5,1982
140000,848,CollgCr,6,2003
110000,924,CollgCr,5,1975
319000,1826,StoneBr,8,2005
114504,1368,OldTown,6,1910
194201,1402,Blmngtn,7,2006
217500,1647,Crawfor,5,1977
151000,1556,Blueste,6,1980
275000,1904,NridgHt,8,2005
141000,1375,IDOTRR,6,1937
220000,1915,SawyerW,8,1992
151000,1200,Somerst,7,2004
221000,1494,CollgCr,7,2002
205000,1986,NAmes,7,1965
152000,1040,CollgCr,5,1996
225000,2008,Edwards,5,1948
359100,3194,Crawfor,8,1934
118500,1029,Sawyer,4,1961
313000,2153,CollgCr,9,2000
148000,1032,NWAmes,6,1978
261500,1872,CollgCr,8,2001
147000,1120,Mitchel,5,2007
75500,630,MeadowV,4,1972
137500,1054,NAmes,6,1963
183200,1509,Gilbert,6,2002
105500,832,NAmes,6,1954
314813,1828,NridgHt,9,2007
305000,2262,Timber,8,2003
67000,864,Edwards,3,1914
240000,2614,NWAmes,6,1974
135000,980,Sawyer,5,1977
168500,1512,Somerst,6,2000
165150,1790,NWAmes,6,1972
160000,1116,NAmes,6,1962
139900,1422,NAmes,5,1960
153000,1520,NAmes,6,1955
135000,2080,NAmes,5,1969
168500,1350,NAmes,6,1964
124000,1750,OldTown,5,1880
209500,1554,NridgHt,8,2006
82500,1411,NWAmes,7,1977
139400,1056,NAmes,5,1954
144000,1056,OldTown,6,1980
200000,3395,SWISU,6,1914
60000,800,BrkSide,2,1936
93000,1387,OldTown,5,1954
85000,796,Edwards,5,1910
264561,1567,Blmngtn,8,2006
274000,1518,NridgHt,8,2003
226000,1929,Somerst,7,2001
345000,2704,NAmes,8,1972
152000,1620,NWAmes,5,1969
370878,1766,Somerst,9,2009
143250,981,NAmes,6,1971
98300,1048,NAmes,5,1950
155000,1094,Edwards,6,1953
155000,1839,NAmes,6,1966
84500,630,MeadowV,4,1970
205950,1665,Somerst,7,2007
108000,1510,Edwards,4,1940
191000,1716,CollgCr,7,1996
135000,1469,IDOTRR,6,1906
350000,2113,NoRidge,8,1995
88000,1092,BrDale,6,1971
145500,1053,NAmes,5,1959
149000,1502,Crawfor,7,1931
97500,1458,NAmes,6,1948
167000,1486,Edwards,5,1964
197900,1935,NWAmes,7,1976
402000,2448,NoRidge,8,1994
110000,1392,NAmes,6,1968
137500,1181,Edwards,4,1972
423000,2097,Somerst,8,2005
230500,1936,Gilbert,8,2000
129000,2380,NAmes,6,1965
193500,1679,SawyerW,6,1994
168000,1437,Sawyer,5,1956
137500,1180,Crawfor,4,1922
173500,1476,CollgCr,6,2005
103600,1369,Edwards,6,1925
165000,1208,Veenker,6,1977
257500,1839,Crawfor,6,1957
140000,1136,NAmes,6,1965
148500,1441,NPkVill,6,1978
87000,1774,OldTown,4,1900
109500,792,OldTown,5,1924
372500,2046,StoneBr,8,2008
128500,988,Sawyer,5,1961
143000,923,SawyerW,6,1980
159434,1520,SWISU,5,1932
173000,1291,ClearCr,6,1996
285000,1668,CollgCr,9,2002
221000,1839,NoRidge,7,1998
207500,2090,StoneBr,7,1984
227875,1761,Somerst,7,2007
148800,1102,Somerst,7,2004
392000,1419,StoneBr,8,2007
194700,1362,NridgHt,6,2005
141000,848,CollgCr,6,2004
755000,4316,NoRidge,10,1994
335000,2519,Timber,7,1989
108480,1073,OldTown,5,1921
141500,1539,BrkSide,5,1936
176000,1137,Timber,6,1987
89000,616,BrkSide,5,1921
123500,1148,Edwards,5,1952
138500,894,Sawyer,5,1965
196000,1391,Somerst,7,2004
312500,1800,Timber,8,2002
140000,1164,NWAmes,7,1969
361919,2576,StoneBr,8,2006
140000,1812,OldTown,5,1900
213000,1484,CollgCr,7,2004
55000,1092,IDOTRR,4,1930
302000,1824,ClearCr,7,1971
254000,1324,NridgHt,8,2006
179540,1456,Gilbert,7,2007
109900,904,Sawyer,5,1966
52000,729,BrkSide,3,1935
102776,1178,IDOTRR,4,1900
189000,1228,StoneBr,8,1988
129000,960,BrkSide,4,1970
130500,1479,Sawyer,6,1976
165000,1350,NWAmes,6,1974
159500,2554,OldTown,7,1890
157000,1178,NWAmes,5,1973
341000,2418,NoRidge,7,1993
128500,971,CollgCr,5,1969
275000,1742,StoneBr,8,1985
143000,848,CollgCr,6,2004
124500,864,NAmes,4,1970
135000,1470,Edwards,4,1954
320000,1698,Edwards,9,2007
120500,864,NAmes,4,1970
222000,1680,Crawfor,6,1988
194500,1232,CollgCr,7,2007
110000,1776,NAmes,5,1958
103000,1208,IDOTRR,4,1925
236500,1616,StoneBr,8,1995
187500,1146,Timber,7,2003
222500,2031,CollgCr,7,1998
131400,1144,Sawyer,5,1961
108000,948,Sawyer,5,1968
163000,1768,OldTown,7,1914
93500,1040,NAmes,3,1950
239900,1801,Gilbert,8,2005
179000,1200,Edwards,5,1987
190000,1728,CollgCr,7,2004
132000,1432,OldTown,5,1910
142000,912,Sawyer,6,1961
179000,1349,SawyerW,7,2000
175000,1464,Sawyer,5,1963
180000,1337,StoneBr,8,1993
299800,2715,NWAmes,8,1976
236000,2256,Gilbert,7,2000
265979,2640,OldTown,7,1880
260400,1720,NoRidge,7,1996
98000,1529,Edwards,4,1945
96500,1140,OldTown,4,1910
162000,1320,Gilbert,7,2003
217000,1494,CollgCr,6,1997
275500,2098,NridgHt,8,2005
156000,1026,NAmes,6,1969
172500,1471,Somerst,6,1999
212000,1768,CollgCr,8,2007
158900,1386,Sawyer,6,1978
179400,1501,Somerst,7,1999
290000,2531,NoRidge,8,1995
127500,864,NAmes,6,1959
100000,1301,BrkSide,5,1924
215200,1547,Somerst,7,2009
337000,2365,NoRidge,8,1999
270000,1494,Veenker,8,1995
264132,1506,Somerst,9,2008
196500,1714,NWAmes,7,1988
160000,1750,Mitchel,6,1940
216837,1836,CollgCr,7,2004
538000,3279,StoneBr,8,2003
134900,858,Sawyer,5,1982
102000,1220,Edwards,4,1951
107000,1117,Edwards,6,1976
114500,912,NAmes,5,1958
395000,1973,NridgHt,8,2006
162000,1204,Mitchel,6,1998
221500,1614,CollgCr,7,2005
142500,894,Sawyer,5,1974
144000,2020,SawyerW,5,1977
135000,1004,Mitchel,6,1977
176000,1253,Gilbert,7,1995
175900,1603,SawyerW,6,1992
187100,1430,CollgCr,7,2001
165500,1110,Mitchel,5,1978
128000,1484,OldTown,6,1914
161500,1342,NWAmes,6,1967
139000,1652,OldTown,5,1915
233000,2084,SawyerW,7,2004
107900,901,OldTown,4,1954
187500,2087,ClearCr,6,1966
160200,1145,Blmngtn,7,2005
146800,1062,Mitchel,6,1976
269790,2013,NoRidge,7,1996
225000,1496,Somerst,8,2007
194500,1895,Gilbert,7,1994
171000,1564,SawyerW,6,1980
143500,1285,Sawyer,6,1977
110000,773,NAmes,5,1953
485000,3140,NridgHt,9,2008
175000,1768,SWISU,5,1937
200000,1688,ClearCr,6,1997
109900,1196,IDOTRR,4,1916
189000,1456,CollgCr,7,2005
582933,2822,NridgHt,9,2008
118000,1128,NAmes,5,1954
227680,1428,Somerst,7,2008
135500,980,NAmes,5,1967
223500,1576,BrkSide,5,1923
159950,1086,NAmes,5,1966
106000,2138,OldTown,5,1898
181000,1309,NWAmes,6,1974
144500,848,CollgCr,6,2004
55993,1044,IDOTRR,5,1952
157900,1442,NAmes,6,1958
116000,1250,Edwards,5,1918
224900,1661,CollgCr,7,1998
137000,1008,NAmes,5,1954
271000,1689,Mitchel,8,2002
155000,1052,ClearCr,6,1971
224000,1358,NridgHt,7,2009
183000,1640,CollgCr,7,2003
93000,936,OldTown,4,1953
225000,1733,Gilbert,7,2003
139500,1489,SWISU,6,1940
232600,1489,Somerst,8,2006
385000,2084,NridgHt,10,2007
109500,784,BrkSide,5,1924
189000,1434,SawyerW,7,2001
185000,2126,ClearCr,5,1967
147400,1223,Somerst,7,2005
166000,1392,NAmes,6,1957
151000,1200,Somerst,7,2005
237000,1829,CollgCr,7,2003
167000,1516,NAmes,6,1964
139950,1144,NAmes,5,1961
128000,1067,Sawyer,4,1950
153500,1559,OldTown,5,1948
100000,987,BrDale,6,1973
144000,1099,CollgCr,5,1995
130500,1200,Edwards,5,1946
140000,1482,SWISU,6,1925
157500,1539,OldTown,5,1904
174900,1165,NAmes,6,1966
141000,1800,NAmes,5,1961
153900,1416,OldTown,5,1915
171000,1701,Sawyer,5,1975
213000,1775,SawyerW,7,1993
